Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
果,JLPT N3,"は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て",カ,Buah; Hadiah,果実 (kajitsu) - buah; kacang,結果 (kekka) - hasil; konsekuensi
容,JLPT N3,い.れる,ヨウ,Mengandung; Bentuk,美容 (biyou) - keindahan bentuk atau rupa,容器 (youki) - kontainer; kapal
必,JLPT N3,かなら.ず,ヒツ,Selalu; Pasti,必死 (hisshi) - panik; putus asa,必要 (hitsuyou) - perlu; dibutuhkan
演,JLPT N3,,エン,Pertunjukan; Aksi,演劇 (engeki) - drama; teater,演技 (engi) - akting; pertunjukan
歳,JLPT N3,"とし, とせ, よわい","サイ, セイ",Akhir tahun; Usia,"万歳 (banzai) - berteriak ""banzai"" (atau mengangkat tangan dengan gerakan banzai)",二十歳 (hatachi) - berusia 20 tahun
争,JLPT N3,"あらそ.う, いか.でか",ソウ,Berdebat; Membantah,争う (arasou) - untuk bersaing; untuk bertanding,論争 (ronsou) - perselisihan; kontroversi
談,JLPT N3,,ダン,Diskusikan; Bicarakan,冗談 (joudan) - lelucon; guyonan,相談 (soudan) - konsultasi; diskusi
能,JLPT N3,よ.く,ノウ,Kemampuan; Bakat,能 (nou) - bakat; karunia,芸能 (geinou) - hiburan publik; seni pertunjukan
位,JLPT N3,"くらい, ぐらい",イ,Pangkat; Tingkat,位 (kurai) - takhta; mahkota,地位 (chii) - posisi (sosial); status
置,JLPT N3,"お.く, -お.き",チ,Penempatan; Letakkan,物置 (monooki) - ruang penyimpanan; gudang,位置 (ichi) - tempat; situasi
流,JLPT N3,"なが.れる, なが.れ, なが.す, -なが.す","リュウ, ル",Arus; Bak penampung,"直流 (chokuryuu) - arus searah; DC  ちょくりゅう: news2, nf40. kata: berita2, nf40.",電流 (denryuu) - arus listrik
格,JLPT N3,,"カク, コウ, キャク, ゴウ",Status; Pangkat,同格 (doukaku) - peringkat yang sama; kesetaraan,格別 (kakubetsu) - khusus; istimewa
疑,JLPT N3,うたが.う,ギ,Meragukan; Tidak mempercayai,疑問 (gimon) - pertanyaan; masalah,疑う (utagau) - meragukan; tidak mempercayai
過,JLPT N3,"す.ぎる, -す.ぎる, -す.ぎ, す.ごす, あやま.つ, あやま.ち, よ.ぎる",カ,Berlebihan; Melebihi,超過 (chouka) - berlebih; ​​lebih dari,過剰 (kajou) - kelebihan; surplus
局,JLPT N3,つぼね,キョク,Biro; Dewan,局 (kyoku) - biro; departemen,薬局 (yakkyoku) - apotek; toko obat
放,JLPT N3,"はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る",ホウ,Bebaskan; Lepaskan,放る (houru) - melempar; melemparkan,解放 (kaihou) - pelepasan; pembebasan
常,JLPT N3,"つね, とこ-",ジョウ,Biasa; Umum,異常 (ijou) - keanehan; kelainan,常識 (joushiki) - akal sehat; kebijaksanaan
状,JLPT N3,,ジョウ,Status quo; Kondisi,現状 (genjou) - kondisi saat ini; keadaan yang ada,状況 (joukyou) - keadaan (di sekitar Anda); situasi
球,JLPT N3,たま,キュウ,Bola; Bulat,球 (kyuu) - bola,電球 (denkyuu) - bola lampu
職,JLPT N3,,"ショク, ソク",Pos; Pekerjaan,職 (shoku) - pekerjaan; tugas,職人 (shokunin) - pekerja; mekanik
与,JLPT N3,"あた.える, あずか.る, くみ.する, ともに",ヨ,Menganugerahkan; Berpartisipasi dalam,給与 (kyuuyo) - gaji; upah,与える (ataeru) - memberi (terutama kepada seseorang yang berstatus lebih rendah); menganugerahkan
供,JLPT N3,"そな.える, とも, -ども","キョウ, ク, クウ, グ",Mengajukan; Menawarkan,供給 (kyoukyuu) - pasokan; penyediaan,子供 (kodomo) - anak; anak-anak
役,JLPT N3,,"ヤク, エキ",Tugas; Perang,役 (yaku) - penggunaan; layanan,重役 (juuyaku) - direktur perusahaan; manajemen puncak
構,JLPT N3,"かま.える, かま.う",コウ,Postur; Bentuk Tubuh,構造 (kouzou) - struktur; konstruksi,構う (kamau) - memperhatikan; mempedulikan
割,JLPT N3,"わ.る, わり, わ.り, わ.れる, さ.く",カツ,Proporsi; Perbandingan,割引 (waribiki) - diskon; pengurangan,割と (warito) - relatif; secara komparatif
費,JLPT N3,"つい.やす, つい.える",ヒ,Pengeluaran; Biaya,費用 (hiyou) - biaya; pengeluaran,消費 (shouhi) - konsumsi; pengeluaran
付,JLPT N3,"つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき",フ,Menempelkan; Melampirkan,付近 (fukin) - lingkungan sekitar; kawasan sekitar,付属 (fuzoku) - terlampir; milik (dari)
由,JLPT N3,"よし, よ.る","ユ, ユウ, ユイ",Oleh karena itu; Sebuah alasan,経由 (keiyu) - melalui; dengan cara,自由 (jiyuu) - kebebasan; kemerdekaan
説,JLPT N3,と.く,"セツ, ゼイ",Desas-desus; Opini,説 (setsu) - teori; doktrin,解説 (kaisetsu) - penjelasan; komentar
難,JLPT N3,"かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い",ナン,Sulit; Mustahil,災難 (sainan) - malapetaka; kemalangan,盗難 (tounan) - pencurian; perampokan
優,JLPT N3,"やさ.しい, すぐ.れる, まさ.る","ユウ, ウ",Kelembutan; Unggul,俳優 (haiyuu) - aktor; aktris,女優 (joyuu) - aktris
夫,JLPT N3,"おっと, それ","フ, フウ, ブ",Suami; Pria,夫 (otto) - suami,夫妻 (fusai) - suami dan istri; pasangan suami istri
収,JLPT N3,"おさ.める, おさ.まる",シュウ,Pendapatan; Memperoleh,領収 (ryoushuu) - tanda terima; voucher,吸収 (kyuushuu) - penyerapan; daya hisap
断,JLPT N3,"た.つ, ことわ.る, さだ.める",ダン,Pemutusan hubungan kerja; Penolakan,断水 (dansui) - pemadaman air,断定 (dantei) - kesimpulan; keputusan
石,JLPT N3,いし,"セキ, シャク, コク",Batu,石 (ishi) - batu,磁石 (jishaku) - magnet
違,JLPT N3,"ちが.う, ちが.い, ちが.える, -ちが.える, たが.う, たが.える",イ,Perbedaan; Berbeda,相違 (soui) - perbedaan; ketidaksesuaian,違い (chigai) - perbedaan; ketidaksesuaian
消,JLPT N3,"き.える, け.す",ショウ,Memadamkan; Meniup,消毒 (shoudoku) - disinfeksi; sterilisasi,消化 (shouka) - pencernaan
神,JLPT N3,"かみ, かん-, こう-","シン, ジン",Dewa; Pikiran,神 (kami) - dewa; dewa,神様 (kamisama) - Tuhan
番,JLPT N3,つが.い,バン,Putar; Nomor dalam sebuah rangkaian,番 (ban) - angka (dalam suatu rangkaian),番地 (banchi) - nomor rumah; alamat
規,JLPT N3,,キ,Standar; Ukuran,定規 (jougi) - penggaris (pengukur),規律 (kiritsu) - ketertiban; ketaatan
術,JLPT N3,すべ,ジュツ,Seni; Teknik,学術 (gakujutsu) - sains; pembelajaran,芸術 (geijutsu) - (seni rupa); seni
備,JLPT N3,"そな.える, そな.わる, つぶさ.に",ビ,Peralatan; Persediaan,警備 (keibi) - pertahanan; penjagaan,整備 (seibi) - pemeliharaan; servis
宅,JLPT N3,,タク,Rumah; Tempat tinggal,宅 (taku) - rumah; tempat tinggal,住宅 (juutaku) - tempat tinggal; perumahan
害,JLPT N3,,ガイ,Kerugian; Cedera,害 (gai) - cedera; bahaya,被害 (higai) - (penderitaan) kerusakan; cedera
配,JLPT N3,くば.る,ハイ,Distribusi; Pasangan,気配 (kehai) - indikasi; tanda,配る (kubaru) - mendistribusikan; mengirimkan
警,JLPT N3,いまし.める,ケイ,Menasihati; Perintah,警備 (keibi) - pertahanan; penjagaan,警告 (keikoku) - peringatan; saran
育,JLPT N3,"そだ.つ, そだ.ち, そだ.てる, はぐく.む",イク,Membesarkan; Mendidik,育児 (ikuji) - perawatan anak; keperawatan,"育つ (sodatsu) - dibesarkan (misalnya, anak); dididik"
席,JLPT N3,むしろ,セキ,Kursi; Tikar,席 (seki) - kursi,"客席 (kyakuseki) - Tempat duduk tamu (misalnya teater, stadion); tempat duduk penumpang (misalnya taksi)"
訪,JLPT N3,"おとず.れる, たず.ねる, と.う",ホウ,Menjenguk; Berkunjung,訪問 (houmon) - telepon; kunjungi,訪ねる (tazuneru) - mengunjungi; berdatangan
乗,JLPT N3,"の.る, -の.り, の.せる","ジョウ, ショウ",Naik; Daya,"乗車 (jousha) - naik kereta api, bus, dll.; naik kereta api",乗客 (joukyaku) - penumpang
残,JLPT N3,"のこ.る, のこ.す, そこな.う, のこ.り","ザン, サン",Sisa; Sisa,残り (nokori) - sisa; residu,"残す (nokosu) - meninggalkan (di belakang, di atas); mewariskan"
想,JLPT N3,おも.う,"ソウ, ソ",Konsep; Berpikir,発想 (hassou) - ide; konsepsi,感想 (kansou) - kesan; pikiran
声,JLPT N3,"こえ, こわ-","セイ, ショウ",Suara,声 (koe) - suara,
念,JLPT N3,,ネン,Keinginan; Perasaan,観念 (kannen) - ide; gagasan,記念 (kinen) - peringatan; perayaan
助,JLPT N3,"たす.ける, たす.かる, す.ける, すけ",ジョ,Tolong; Selamatkan,援助 (enjo) - bantuan; pertolongan,救助 (kyuujo) - lega; bantuan
労,JLPT N3,"ろう.する, いたわ.る, いた.ずき, ねぎら, つか.れる, ねぎら.う",ロウ,Kerja; Bersyukur atas,苦労 (kurou) - masalah; kesulitan,労働 (roudou) - kerja manual; tenaga kerja manual
例,JLPT N3,たと.える,レイ,Contoh; Kebiasaan,例 (rei) - adat; praktik,実例 (jitsurei) - contoh; ilustrasi
然,JLPT N3,"しか, しか.り, しか.し, さ","ゼン, ネン",Semacam itu; Jadi,偶然 (guuzen) - (secara) kebetulan; secara tak terduga,然も (shikamo) - selain itu; selanjutnya
限,JLPT N3,"かぎ.る, かぎ.り, -かぎ.り",ゲン,Batasi; Batasi,限度 (gendo) - batas; batasan,期限 (kigen) - istilah; periode
追,JLPT N3,お.う,ツイ,Kejar; Pergi,追加 (tsuika) - tambahan; suplemen,追う (ou) - mengejar; berlari mengejar
商,JLPT N3,あきな.う,ショウ,Melakukan transaksi; Menjual,商業 (shougyou) - perdagangan; bisnis,商社 (shousha) - perusahaan perdagangan; firma
葉,JLPT N3,は,ヨウ,Daun; Bidang,葉 (ha) - daun,紅葉 (kouyou) - warna musim gugur; warna-warna musim gugur
伝,JLPT N3,"つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて","デン, テン",Menyampaikan; Melanjutkan,伝記 (denki) - biografi; kisah hidup,伝染 (densen) - penularan; infeksi
働,JLPT N3,はたら.く,ドウ,Bekerja; (kokuji),働き (hataraki) - pekerjaan; tenaga kerja,労働 (roudou) - kerja manual; tenaga kerja manual
形,JLPT N3,"かた, -がた, かたち, なり","ケイ, ギョウ",Bentuk; Wujud,形 (katachi) - bentuk; rupa,形式 (keishiki) - bentuk (sebagai lawan dari substansi); formalitas
景,JLPT N3,,ケイ,Pemandangan; Tampilan,風景 (fuukei) - pemandangan; adegan,景気 (keiki) - kondisi; keadaan
落,JLPT N3,"お.ちる, お.ち, お.とす",ラク,Jatuh; Terjatuh,落第 (rakudai) - kegagalan; putus sekolah,洒落 (share) - lelucon; permainan kata
好,JLPT N3,"この.む, す.く, よ.い, い.い",コウ,Suka; Menyenangkan,友好 (yuukou) - persahabatan,格好 (kakkou) - bentuk; rupa
退,JLPT N3,"しりぞ.く, しりぞ.ける, ひ.く, の.く, の.ける, ど.く",タイ,Mundur; Menarik diri,"退く (doku) - untuk minggir; untuk menyingkir (yaitu, menyingkir)",引退 (intai) - pensiun
頭,JLPT N3,"あたま, かしら, -がしら, かぶり","トウ, ズ, ト",Kepala; Penghitung untuk hewan besar,頭 (atama) - kepala,先頭 (sentou) - kepala; pemimpin
負,JLPT N3,"ま.ける, ま.かす, お.う",フ,Kekalahan; Negatif,勝負 (shoubu) - kemenangan atau kekalahan; pertandingan,負け (make) - kekalahan; kerugian
渡,JLPT N3,"わた.る, -わた.る, わた.す",ト,Transit; Ford,渡る (wataru) - menyeberang; melewati,渡す (watasu) - menyeberangi (misalnya sungai); membawa menyeberang
失,JLPT N3,"うしな.う, う.せる",シツ,Kalah; Kesalahan,過失 (kashitsu) - kesalahan; kekeliruan,失恋 (shitsuren) - Cinta yang mengecewakan; patah hati
差,JLPT N3,"さ.す, さ.し",サ,Perbedaan; Selisih,差 (sa) - perbedaan; variasi,交差 (kousa) - penyeberangan; persimpangan
末,JLPT N3,すえ,"マツ, バツ",Akhir; Tutup,末 (sue) - ujung; atas,月末 (getsumatsu) - akhir bulan
守,JLPT N3,"まも.る, まも.り, もり, -もり, かみ","シュ, ス",Jaga; Lindungi,守る (mamoru) - untuk melindungi; untuk menjaga,留守 (rusu) - ketidakhadiran; sedang berada jauh dari rumah
若,JLPT N3,"わか.い, わか-, も.しくわ, も.し, も.しくは, ごと.し","ジャク, ニャク, ニャ",Muda; Jika,若し (moshi) - jika; dalam hal,若い (wakai) - muda; awet muda
種,JLPT N3,"たね, -ぐさ",シュ,Spesies; Jenis,"種 (tane) - biji (misalnya, biji tanaman); inti",一種 (isshu) - spesies; jenis
美,JLPT N3,うつく.しい,"ビ, ミ",Kecantikan; Indah,美容 (biyou) - keindahan bentuk atau rupa,美人 (bijin) - wanita cantik
命,JLPT N3,いのち,"メイ, ミョウ",Takdir; Perintah,命 (inochi) - kehidupan; kekuatan hidup,人命 (jinmei) - kehidupan (manusia)
福,JLPT N3,,フク,Berkah; Keberuntungan,幸福 (koufuku) - kebahagiaan; keberkahan,
望,JLPT N3,"のぞ.む, もち","ボウ, モウ",Ambisi; Bulan purnama,希望 (kibou) - harapan; keinginan,望み (nozomi) - keinginan; hasrat
非,JLPT N3,あら.ず,ヒ,Tidak-; Kesalahan,是非 (zehi) - Tentu saja; tanpa gagal,非常に (hijouni) - sangat; amat
観,JLPT N3,"み.る, しめ.す",カン,Pandangan; Tampilan,観念 (kannen) - ide; gagasan,観測 (kansoku) - pengamatan; survei
察,JLPT N3,,サツ,Menebak; Menganggap,観察 (kansatsu) - pengamatan; survei,診察 (shinsatsu) - pemeriksaan medis
段,JLPT N3,,"ダン, タン",Tingkat; Langkah,段 (dan) - anak tangga; anak tangga,段階 (dankai) - tingkatan; level
横,JLPT N3,よこ,オウ,Menyamping; Sisi,横 (yoko) - horizontal (berlawanan dengan vertikal); berbaring,横断 (oudan) - melintasi
深,JLPT N3,"ふか.い, -ぶか.い, ふか.まる, ふか.める, み-",シン,Dalam; Meningkatkan,深夜 (shinya) - larut malam,深刻 (shinkoku) - serius; parah
申,JLPT N3,"もう.す, もう.し-, さる",シン,Merupakan suatu kehormatan bagi saya; Shio monyet,申す (mousu) - untuk mengatakan; untuk disebut,申し訳 (moushiwake) - permintaan maaf; alasan
様,JLPT N3,"さま, さん","ヨウ, ショウ",Esq.; Cara,様 (you) - muncul ...; terlihat ...,神様 (kamisama) - Tuhan
財,JLPT N3,たから,"ザイ, サイ, ゾク",Properti; Uang,財産 (zaisan) - harta benda; kekayaan,財布 (saifu) - dompet; tas tangan
港,JLPT N3,みなと,コウ,Pelabuhan,港 (minato) - pelabuhan; dermaga,空港 (kuukou) - bandara
識,JLPT N3,"し.る, しる.す",シキ,Diskriminatif; Tahu,標識 (hyoushiki) - tanda; lambang,知識 (chishiki) - pengetahuan; informasi
呼,JLPT N3,よ.ぶ,コ,Panggil; Serukan,呼吸 (kokyuu) - pernapasan; respirasi,呼ぶ (yobu) - memanggil; memanggil
達,JLPT N3,-たち,"タツ, ダ",Tercapai; Mencapai,速達 (sokutatsu) - ekspres; pengiriman khusus,配達 (haitatsu) - pengiriman; distribusi
良,JLPT N3,"よ.い, -よ.い, い.い, -い.い",リョウ,Baik; Menyenangkan,良い (yoi) - baik; sangat baik,良く (yoku) - dengan baik; dengan benar
候,JLPT N3,そうろう,コウ,Iklim; Musim,気候 (kikou) - iklim,候補 (kouho) - kandidat; pesaing
程,JLPT N3,"ほど, -ほど",テイ,Luas; Derajat,程 (hodo) - derajat; luas,課程 (katei) - kursus; kurikulum
満,JLPT N3,"み.ちる, み.つ, み.たす","マン, バン",Penuh; Cukup,満員 (manin) - Penuh sesak; tidak ada kursi kosong,満点 (manten) - nilai sempurna; nilai penuh
敗,JLPT N3,やぶ.れる,ハイ,Kegagalan; Kekalahan,勝敗 (shouhai) - kemenangan atau kekalahan; hasil (pertempuran),失敗 (shippai) - kegagalan; kesalahan
値,JLPT N3,"ね, あたい",チ,Harga; Biaya,値 (atai) - harga; biaya,価値 (kachi) - nilai; harga
突,JLPT N3,つ.く,"トツ, カ",Menusuk; Menonjol,煙突 (entotsu) - cerobong asap; saluran asap (kapal),突く (tsuku) - menusuk; menikam
光,JLPT N3,"ひか.る, ひかり",コウ,Sinar; Cahaya,光 (hikari) - lampu,光線 (kousen) - berkas; sinar cahaya
路,JLPT N3,"-じ, みち","ロ, ル",Jalur; Rute,線路 (senro) - jalur kereta api; rel kereta api,針路 (shinro) - haluan; arah
科,JLPT N3,,カ,Departemen; Program Studi,学科 (gakka) - mata pelajaran; program studi,外科 (geka) - operasi
積,JLPT N3,"つ.む, -づ.み, つ.もる, つ.もり",セキ,Volume; Produk (x*y),"面積 (menseki) - ukuran persegi; luas (misalnya, luas tanah)",積む (tsumu) - menumpuk; menyusun
他,JLPT N3,ほか,タ,Lainnya; Yang lain,"他 (hoka) - lainnya (tempat, benda, orang); sisanya",他人 (tanin) - orang lain; orang-orang lain
処,JLPT N3,"ところ, -こ, お.る",ショ,Membuang; Mengelola,処理 (shori) - pengolahan; penanganan,彼処 (asoko) - di sana (tempat yang secara fisik jauh dari pembicara dan pendengar); di sana
太,JLPT N3,"ふと.い, ふと.る","タイ, タ",Gemuk; Tebal,太鼓 (taiko) - drum,太陽 (taiyou) - matahari; surya
客,JLPT N3,,"キャク, カク",Tamu; Pengunjung,客 (kyaku) - tamu; pengunjung,"客席 (kyakuseki) - Tempat duduk tamu (misalnya teater, stadion); tempat duduk penumpang (misalnya taksi)"
否,JLPT N3,"いな, いや",ヒ,Menolak; Tidak,否 (iie) - tidak; tidak,否定 (hitei) - negasi; penyangkalan
師,JLPT N3,いくさ,シ,Pakar; Guru,"講師 (koushi) - dosen  こうし: ichi1, news1, nf03. arti: ichi1, berita1, nf03.",漁師 (ryoushi) - nelayan
登,JLPT N3,"のぼ.る, あ.がる","トウ, ト, ドウ, ショウ, チョウ",Mendaki; Memanjat,登場 (toujou) - masuk (di atas panggung); penampilan (di layar),登山 (tozan) - pendakian gunung
易,JLPT N3,"やさ.しい, やす.い","エキ, イ",Mudah; Siap,安易 (ani) - mudah; sederhana,容易 (youi) - mudah; sederhana
速,JLPT N3,"はや.い, はや-, はや.める, すみ.やか",ソク,Cepat; Kilat,時速 (jisoku) - kecepatan (per jam),加速 (kasoku) - percepatan; mempercepat
存,JLPT N3,"ながら.える, あ.る, たも.つ, と.う","ソン, ゾン",Anggap saja; Sadarilah,生存 (seizon) - eksistensi; keberadaan,保存 (hozon) - pelestarian; konservasi
飛,JLPT N3,"と.ぶ, と.ばす, -と.ばす",ヒ,Terbang; Lewati (halaman),飛行 (hikou) - penerbangan; penerbangan,飛ぶ (tobu) - terbang; melayang
殺,JLPT N3,"ころ.す, -ごろ.し, そ.ぐ","サツ, サイ, セツ",Membunuh; Membunuh secara brutal,殺す (korosu) - untuk membunuh,
号,JLPT N3,"さけ.ぶ, よびな",ゴウ,Nama panggilan; Nomor,符号 (fugou) - tanda; lambang,記号 (kigou) - simbol; kode
単,JLPT N3,ひとえ,タン,Sederhana; Satu,単数 (tansuu) - bilangan tunggal,単語 (tango) - kata; kosakata
座,JLPT N3,すわ.る,ザ,Jongkok; Tempat duduk,座敷 (zashiki) - ruang tatami; ruang tikar tatami,座席 (zaseki) - kursi
破,JLPT N3,"やぶ.る, やぶ.れる, わ.れる",ハ,Merobek; Mengoyak,破片 (hahen) - pecahan; serpihan,破く (yabuku) - merobek; melanggar
除,JLPT N3,"のぞ.く, -よ.け","ジョ, ジ",Kecualikan; Pembagian (x,削除 (sakujo) - penghapusan; pembatalan,除く (nozoku) - untuk menghilangkan; untuk memusnahkan
完,JLPT N3,,カン,Sempurna; Penyelesaian,完了 (kanryou) - penyelesaian; kesimpulan,完成 (kansei) - lengkap; penyelesaian
降,JLPT N3,"お.りる, お.ろす, ふ.る, ふ.り, くだ.る, くだ.す","コウ, ゴ",Turun; Terburu-buru,以降 (ikou) - pada dan setelahnya; mulai dari,下降 (kakou) - penurunan; jatuh
責,JLPT N3,せ.める,セキ,Menyalahkan; Mengutuk,責任 (sekinin) - tugas; tanggung jawab (termasuk pengawasan staf),責める (semeru) - mengutuk; menyalahkan
捕,JLPT N3,"と.らえる, と.らわれる, と.る, とら.える, とら.われる, つか.まえる, つか.まる",ホ,Tangkap; Tangkap,捕る (toru) - mengambil; menangkap,逮捕 (taiho) - penangkapan; penahanan
危,JLPT N3,"あぶ.ない, あや.うい, あや.ぶむ",キ,Berbahaya; Takut,危険 (kiken) - bahaya; ancaman,危うい (ayaui) - berbahaya; berisiko
給,JLPT N3,"たま.う, たも.う, -たま.え",キュウ,Gaji; Upah,月給 (gekkyuu) - gaji bulanan,給与 (kyuuyo) - gaji; upah
苦,JLPT N3,"くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る",ク,Penderitaan; Cobaan,苦情 (kujou) - keluhan; masalah,苦心 (kushin) - rasa sakit; kesulitan
迎,JLPT N3,むか.える,ゲイ,Selamat datang; Bertemu,歓迎 (kangei) - selamat datang; resepsi,迎え (mukae) - pertemuan; salam
園,JLPT N3,その,エン,Taman; Kebun,園芸 (engei) - hortikultura; berkebun,公園 (kouen) - taman (umum)
具,JLPT N3,"そな.える, つぶさ.に",グ,Alat; Perlengkapan,器具 (kigu) - perkakas; peralatan,具体 (gutai) - konkret; nyata
辞,JLPT N3,"や.める, いな.む",ジ,Mengundurkan diri; Kata,辞典 (jiten) - kamus,辞書 (jisho) - kamus; leksikon
因,JLPT N3,"よ.る, ちな.む",イン,Penyebab; Faktor,因る (yoru) - disebabkan oleh,原因 (genin) - penyebab; asal
馬,JLPT N3,"うま, うま-, ま",バ,Kuda,馬 (uma) - kuda,競馬 (keiba) - pacuan kuda
愛,JLPT N3,"いと.しい, かな.しい, め.でる, お.しむ, まな",アイ,Cinta; Kasih Sayang,愛 (ai) - cinta; kasih sayang,愛情 (aijou) - cinta; kasih sayang
富,JLPT N3,"と.む, とみ","フ, フウ",Kekayaan; Memperkaya,豊富 (houfu) - kelimpahan; kekayaan,
彼,JLPT N3,"かれ, かの, か.の",ヒ,Dia (laki-laki); Itu,"彼 (are) - itu (menunjukkan sesuatu yang jauh dari pembicara dan pendengar (dalam ruang, waktu, atau secara psikologis), atau sesuatu yang dipahami tanpa menyebutkannya secara langsung)",彼此 (arekore) - Ini atau itu; begini dan begitu
未,JLPT N3,"いま.だ, ま.だ, ひつじ","ミ, ビ",Belum; Belum,未満 (miman) - kurang dari; tidak mencukupi,未来 (mirai) - masa depan (biasanya jauh)
舞,JLPT N3,"ま.う, -ま.う, まい",ブ,Tari; Terbang,舞台 (butai) - panggung (teater),見舞う (mimau) - menanyakan kabar (seseorang); mengunjungi
亡,JLPT N3,"な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす","ボウ, モウ",Almarhum; Yang telah meninggal,死亡 (shibou) - kematian; mortalitas,亡くなる (nakunaru) - mati
冷,JLPT N3,"つめ.たい, ひ.える, ひ.や, ひ.ややか, ひ.やす, ひ.やかす, さ.める, さ.ます",レイ,Keren; Dingin (bir,冷凍 (reitou) - pembekuan; penyimpanan dingin,冷静 (reisei) - tenang; keteguhan hati
適,JLPT N3,かな.う,テキ,Sesuai; Sesekali,快適 (kaiteki) - menyenangkan; nyaman,適度 (tekido) - sedang
婦,JLPT N3,よめ,フ,Nyonya; Wanita,婦人 (fujin) - wanita; perempuan,夫婦 (fuufu) - pasangan suami istri; suami istri
寄,JLPT N3,"よ.る, -よ.り, よ.せる",キ,Mendekat; Mampir,寄付 (kifu) - kontribusi; donasi,寄る (yoru) - mendekati; mendekat
込,JLPT N3,"-こ.む, こ.む, こ.み, -こ.み, こ.める",,Ramai; Campuran,込む (komu) - menjadi ramai; menjadi penuh sesak,払い込む (haraikomu) - menyetor; membayar
顔,JLPT N3,かお,ガン,Wajah; Ekspresi,笑顔 (egao) - wajah tersenyum; senyum,笑顔する (egaosuru) - wajah tersenyum; senyum
類,JLPT N3,たぐ.い,ルイ,Sortir; Jenis,分類 (bunrui) - klasifikasi; kategorisasi,親類 (shinrui) - hubungan; kerabat
余,JLPT N3,"あま.る, あま.り, あま.す, あんま.り",ヨ,Terlalu banyak; Diri saya sendiri,余る (amaru) - tersisa; menjadi sisa,余計 (yokei) - terlalu banyak; berlebihan
王,JLPT N3,,"オウ, -ノウ",Raja; Pemerintahan,王 (ou) - raja; penguasa,国王 (kokuou) - raja
返,JLPT N3,"かえ.す, -かえ.す, かえ.る, -かえ.る",ヘン,Kembali; Jawab,返る (kaeru) - kembali; pulang,返事 (henji) - balasan; jawaban
妻,JLPT N3,つま,サイ,Istri; Pasangan,妻 (tsuma) - istri,夫妻 (fusai) - suami dan istri; pasangan suami istri
背,JLPT N3,"せ, せい, そむ.く, そむ.ける",ハイ,Perawakan; Tinggi,背 (se) - punggung; tulang belakang,背中 (senaka) - punggung (tubuh)
熱,JLPT N3,あつ.い,ネツ,Panas; Suhu,熱 (netsu) - panas,加熱 (kanetsu) - pemanasan; penerapan panas
宿,JLPT N3,"やど, やど.る, やど.す",シュク,Penginapan; Tempat tinggal,宿 (yado) - penginapan; losmen,宿泊 (shukuhaku) - penginapan
薬,JLPT N3,くすり,ヤク,Obat-obatan; Bahan Kimia,薬 (kusuri) - obat-obatan; farmasi,薬指 (kusuriyubi) - jari manis; jari kelingking
険,JLPT N3,けわ.しい,ケン,Terjal; Tempat yang tidak dapat diakses,冒険 (bouken) - risiko; usaha,危険 (kiken) - bahaya; ancaman
頼,JLPT N3,"たの.む, たの.もしい, たよ.る",ライ,Kepercayaan; Permintaan,依頼 (irai) - permintaan; komisi,信頼 (shinrai) - ketergantungan; kepercayaan
覚,JLPT N3,"おぼ.える, さ.ます, さ.める, さと.る",カク,Hafalkan; Pelajari,覚悟 (kakugo) - resolusi; pengunduran diri,感覚 (kankaku) - indra; sensasi
船,JLPT N3,"ふね, ふな-",セン,Kapal; Perahu,船 (fune) - kapal; perahu,船便 (funabin) - surat darat (kapal); surat laut
途,JLPT N3,みち,ト,Rute; Jalan,中途 (chuuto) - di tengah; setengah jalan,用途 (youto) - penggunaan; kegunaan
許,JLPT N3,"ゆる.す, もと",キョ,Izinkan; Setujui,許可 (kyoka) - izin; persetujuan,許す (yurusu) - mengizinkan; memperbolehkan
抜,JLPT N3,"ぬ.く, -ぬ.く, ぬ.き, ぬ.ける, ぬ.かす, ぬ.かる","バツ, ハツ, ハイ",Keluar diam-diam; Ekstrak,抜く (nuku) - untuk mengekstrak; untuk menghilangkan,抜ける (nukeru) - keluar; jatuh
便,JLPT N3,たよ.り,"ベン, ビン",Kenyamanan,便 (bin) - penerbangan (misalnya penerbangan maskapai); perjalanan (misalnya perjalanan kereta api),便所 (benjo) - toilet; kamar kecil
留,JLPT N3,"と.める, と.まる, とど.める, とど.まる, るうぶる","リュウ, ル",Tahan; Kencangkan,書留 (kakitome) - pos tercatat,留学 (ryuugaku) - belajar di luar negeri (biasanya di tingkat universitas)
罪,JLPT N3,つみ,ザイ,Rasa bersalah; Dosa,罪 (tsumi) - kejahatan; dosa,犯罪 (hanzai) - kejahatan; pelanggaran
